final_d,emp_length_int,home_ownership_cat,annual_inc,income_cat,loan_amount,term_cat,application_type_cat,purpose_cat,interest_payment_cat,loan_condition_cat,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment
1012015,10,1,24000,1,5000,1,1,1,1,0,10.65,B,27.65,5861.071414,5000,0,162.87
1042013,0.5,1,30000,1,2500,2,1,2,2,1,15.27,C,1,1008.71,456.46,117.08,59.83
1062014,10,1,12252,1,2400,1,1,3,2,0,15.96,C,8.72,3003.653644,2400,0,84.33
1012015,10,1,49200,1,10000,1,1,4,2,0,13.49,C,20,12226.30221,10000,0,339.31
1012016,1,1,80000,1,3000,2,1,4,1,0,12.69,B,17.94,3242.17,2233.1,0,67.79
1012015,3,1,36000,1,5000,1,1,5,1,0,7.9,A,11.2,5631.377753,5000,0,156.46
1012016,8,1,47004,1,7000,2,1,6,2,0,15.96,C,23.51,8136.84,5110.85,0,170.08
1012015,9,1,48000,1,3000,1,1,2,2,0,18.64,E,5.35,3938.1443340000005,3000,0,109.43
1042012,4,2,40000,1,5600,2,1,3,2,1,21.28,F,5.55,646.02,162.02,189.06,152.39
1112012,0.5,1,15000,1,5375,2,1,4,1,1,12.69,B,18.08,1476.19,673.48,269.29,121.45
1062013,5,2,72000,1,6500,2,1,6,2,0,14.65,C,16.12,7677.52,6500,0,153.45
1092013,10,2,75000,1,12000,1,1,6,1,0,12.69,B,10.78,13943.08,12000,0,402.54
1072012,0.5,1,30000,1,9000,1,1,6,2,1,13.49,C,10.08,2270.7,1256.14,444.3,305.38
1012015,3,1,15000,1,3000,1,1,1,1,0,9.91,B,12.56,3478.981915,3000,0,96.68
1102013,3,1,100000,1,10000,1,1,4,1,1,10.65,B,7.06,7471.99,5433.47,645.1,325.74
1012015,0.5,1,28000,1,1000,1,1,6,2,0,16.29,D,20.31,1270.171106,1000,0,35.31
1012015,4,1,42000,1,10000,1,1,7,2,0,15.27,C,18.6,12519.26045,10000,0,347.98
1052013,10,3,110000,2,3600,1,1,8,1,0,6.03,A,10.52,3785.02,3600,0,109.57
1022015,1,3,84000,1,6000,1,1,9,1,0,11.71,B,18.44,7164.499852,6000,0,198.46
1072012,6,1,77385,1,9200,1,1,6,1,0,6.03,A,9.86,9459.96,9200,0,280.01
1082015,3,1,43370,1,20250,2,1,6,2,0,15.27,C,26.53,27663.04267,20250,0,484.63
1092013,10,1,105000,2,21000,1,1,6,1,1,12.42,B,13.22,14025.4,10694.96,0,701.73
